128,0.0,6.3,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,3.041604043,0.0
128,0.0,6.4,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.735041965,0.0
128,0.0,6.5,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.700114529,0.0
128,0.0,6.6,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.084523633,0.0
128,0.0,6.7,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.772316024,0.0
128,0.0,6.9,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,1.980961456,0.0
128,0.0,7.0,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.806981118,0.0
128,0.0,7.1,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,1.932766639,0.0
128,0.0,7.3,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.704551191,0.0
128,0.0,7.4,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.633176655,0.0
128,0.0,7.5,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.121754219,0.0
128,0.0,7.6,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.732678483,0.0
128,0.0,7.7,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.003227716,0.0
128,0.0,7.8,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.804106851,0.0
128,0.0,7.9,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,1.942994324,0.0
128,0.0,8.0,1.0,100.0,0.0,NaN,NaN,false,500,NaN,0.025,0.05,2.807787823,0.0
