IuS,CuS,MuS
0.1,0.3957442506850566,0.12957442506850567
0.12957442506850567,0.3957338177831041,0.15619036433996553
0.15619036433996553,0.3957197547882946,0.18014330338479845
0.18014330338479845,0.3957006219569947,0.20169903524201807
0.20169903524201807,0.39567416254085863,0.22109654797190212
0.22109654797190212,0.3956366856107677,0.23855056173578867
0.23855056173578867,0.3955819043858903,0.25425369600079883
0.25425369600079883,0.39549861242856565,0.2683781876435755
0.2683781876435755,0.3953656341696769,0.2810769322961857
0.2810769322961857,0.3951398289368714,0.2924832219602543
0.2924832219602543,0.39472509151953816,0.3027074089161827
0.3027074089161827,0.3938844208651332,0.3118251101110778
0.3118251101110778,0.3919497878805378,0.3198375778880238
0.3198375778880238,0.3865631912561234,0.3265101392248338
0.3265101392248338,0.3654852861820419,0.3304076539205546
0.3304076539205546,0.2878923163602293,0.32615612016452206
0.32615612016452206,0.36795032341485123,0.330335540489555
0.330335540489555,0.2911341309648332,0.3264153995370828
0.3264153995370828,0.36617640258028583,0.33039149984140315
0.33039149984140315,0.28862972695948536,0.3262153225532114
0.3262153225532114,0.3675597337711036,0.33034976367500063
0.33034976367500063,0.2905048697191218,0.32636527427941275
0.32636527427941275,0.36653245299316173,0.3303819921507877
0.3303819921507877,0.2890606859428736,0.32624986152999624
0.32624986152999624,0.36732801408044213,0.3303576767850408
0.3303576767850408,0.29015264323964607,0.32633717343050134
0.32633717343050134,0.36672923114913636,0.33037637920236484
0.33037637920236484,0.28931405048274517,0.3262701463304029
0.3262701463304029,0.3671905789978642,0.330362189597149
0.330362189597149,0.2899510829902607,0.32632107893646023
0.32632107893646023,0.36684103263826745,0.330373074306641
0.330373074306641,0.28946286577126346,0.32628205345310324
0.32628205345310324,0.3671094361875965,0.3303647917265526
0.3303647917265526,0.2898346339960679,0.32631177595350414
0.32631177595350414,0.3669053596074313,0.33037113431889686
0.33037113431889686,0.28955009509311713,0.3262890303963189
0.3262890303963189,0.36706172865521147,0.33036630022220814
0.33036630022220814,0.28976705035308525,0.3263063752352959
0.3263063752352959,0.3669426044684987,0.3303699981586162
0.3303699981586162,0.2896011380498646,0.32629311214774104
0.32629311214774104,0.3670337623552977,0.33036717716849673
0.33036717716849673,0.28972773562336074,0.3263032330139831
0.3263032330139831,0.366964240642328,0.3303693337768176
0.3303693337768176,0.28963097119037917,0.32629549751817377
0.32629549751817377,0.3670173997889995,0.3303676877452564
0.3303676877452564,0.28970483702044164,0.32630140267277497
0.32630140267277497,0.3669768323684106,0.33036894564233854
0.33036894564233854,0.28964839478711946,0.3262968905568166
0.3262968905568166,0.36700783764808115,0.3303679852659431
